report_class_id,field_key,field_title,field_type,field_key exists in field_key_library?,field_key_definition
AmalReport,meeting_summary,סיכום הביקור,textarea,FALSE,
APNFamilyTherapyReport,data,Data:,textarea,TRUE,"The Field ‘data' contains the main topics covered in the session. This field is like a summary of the session and can cover a wide array of topics, but should focus primarily on the topics discussed, and less on things outside the session such as planning and homework. Most likely will contain the topics brought up by the client, interactions between therapist and client, client’s state and treatment goals."
APNFamilyTherapyReport,assessment,Assessment:,textarea,TRUE,"This field captures the thorough analysis or evaluation of a client's mental and emotional state, as observed by the therapist during the session. This often includes, but is not limited to, the client's emotional responses, mood states, behavioral patterns, coping mechanisms, and relational dynamics. It may also touch upon life transitions or events impacting the client's well-being, as well as the client's recognition and management of their emotional health. It may also include screening and/or assessment results from evaluations conducted and self report tools.."
APNFamilyTherapyReport,plan,Plan:,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
ARCAIndividualTherapyNoteReport,Patient_States,Patient states,textarea,FALSE,
ARCAIndividualTherapyNoteReport,Presenting_Problem,Presenting problem,textarea,TRUE,"This field in a clinical note encapsulates the key issues or challenges that the patient is facing, prompting the need for the psychological or mental health treatment. This field may contain descriptions of the patient's current symptoms, previous diagnosis, emotional experiences, behaviors and cognitive perceptions relevant to the situation they seek therapy for. Often, it includes direct quotes from clients to capture their personal experiences and perspectives alongside observations made by the healthcare provider. This can range from coping with trauma, struggling with substance misuse, experiencing mental health conditions such as depression, anxiety , bipolar etc. It may describe the client's current condition and it may also describe the history of the client's condition and how they have dealt with it in the past, leading up to this specific therapy endeavor."
ARCAIndividualTherapyNoteReport,UDS_Reviewed,Urine Drug Screen (UDS) results reviewed,checkbox,FALSE,
ARCAIndividualTherapyNoteReport,Comments_Concerns,Comments or concerns about UDS,textarea,FALSE,
ARCAIndividualTherapyNoteReport,Narrative_Summary,Narrative summary,textarea,FALSE,
BarryCountyCMHAPeerSupportNoteReport,purpose,Purpose of Contact,textarea,FALSE,
BarryCountyCMHAPeerSupportNoteReport,response,Client Response,textarea,FALSE,
BarryCountyCMHAPeerSupportNoteReport,plan,Plan for Next Session,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
BarryCountyCMHAPeerSupportNoteReport,satisfaction,Satisfaction with Services Rendered,radio,FALSE,
BarryCountyCMHAPeerSupportNoteReport,explanation,"Explanation (use direct quotes from Client, when possible)",textarea,FALSE,
BarryCountyCMHAServiceNoteReport,intervention,Clinical Intervention / Progress Toward Measurable Outcome,textarea,TRUE,"The Field ‘intervention' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals."
BarryCountyCMHAServiceNoteReport,plan,Homework/Plan for Next Session,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
BestPointCareCoordination,observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",textarea,FALSE,
BestPointCareCoordination,new_issues,New Issue(s) Presented Today,textarea,FALSE,
BlackFamilyDevelopmentWraparoundReport,talked_about,What we talked about,textarea,FALSE,
BootheelPeerSupportReport,describe_text,Describe:,textarea,FALSE,
BootheelPeerSupportReport,additional_comments,Additional Comments?,radio,FALSE,
BootheelPeerSupportReport,additionalcommentstext,Comments:,textarea,FALSE,
BrightHarborIndividualTherapyReport,clinical_course,Clinical course of treatment including rationale for today's service,textarea,FALSE,
BrightHarborIndividualTherapyReport,changes_consumer,Changes in the consumer's condition or situation,textarea,FALSE,
BrightHarborIndividualTherapyReport,response,Current status and response to treatment,textarea,FALSE,
BrightHarborIndividualTherapyReport,plan,Plan,textarea,TRUE,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them."
BrightHarborPsychiatricEvaluationReport,psych_title,Psychiatric Evaluation,checkbox,FALSE,
BrightHarborPsychiatricEvaluationReport,chief,Chief Complaint,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,history,History of Present Illness (details if applicable),textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,prev_meds,Medications Previously Tried (if any),textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,substance_abuse,Past and Current Substances Abuse,textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,child_development,Childhood Development (Children Only),textarea,FALSE,
BrightHarborPsychiatricEvaluationReport,issues,Personal/Family/Social History/Legal Issues,textarea,FALSE,
