field_key,field_title,containment_title,cosine_sim
meeting_summary,סיכום הביקור,0.0,0.21388623118400574
Patient_States,Patient states,1.0,1.0
Comments_Concerns,Comments or concerns about UDS,0.5,0.7176864147186279
Narrative_Summary,Narrative summary,1.0,1.0000001192092896
purpose,Purpose of Contact,0.5,0.6372102499008179
response,Client Response,0.5,0.5405397415161133
explanation,"Explanation (use direct quotes from Client, when possible)",0.1429,0.14404787123203278
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",0.5,0.7780056595802307
new_issues,New Issue(s) Presented Today,0.5,0.7593533396720886
talked_about,What we talked about,0.5,0.8069781064987183
describe_text,Describe:,1.0,0.6245561242103577
additionalcommentstext,Comments:,0.0,0.19598977267742157
clinical_course,Clinical course of treatment including rationale for today's service,0.2857,0.6632847189903259
changes_consumer,Changes in the consumer's condition or situation,0.5,0.7341147065162659
response,Current status and response to treatment,0.25,0.32551810145378113
chief,Chief Complaint,0.5,0.6909789443016052
history,History of Present Illness (details if applicable),0.1667,0.35909390449523926
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,0.25,0.6641609072685242
prev_meds,Medications Previously Tried (if any),0.0,0.33284062147140503
substance_abuse,Past and Current Substances Abuse,0.5,0.716100811958313
child_development,Childhood Development (Children Only),0.5,0.7380589842796326
issues,Personal/Family/Social History/Legal Issues,0.1667,0.27006348967552185
fam_history,Family History (Biological Loading),0.25,0.35696321725845337
reactions,Allergies/Adverse Reactions,0.3333,0.35004034638404846
med_history,Medical History,0.5,0.5073608756065369
current_meds,Current Medications,0.5,0.7852568030357361
contraceptive,LMP and Contraceptive Method,0.3333,0.7005183100700378
height,Height and Weight:,0.5,0.7663717865943909
appearance,Appearance,1.0,1.0
eye_contact,Eye Contact,1.0,1.0
attention,Attention Span,0.5,0.6857385635375977
psych_activity,Psychomotor Activity,0.5,0.6110462546348572
content,Thought Content,0.5,0.7197134494781494
mood,Mood,1.0,1.0000001192092896
affect,Affect,1.0,1.0
associations,Associations,1.0,1.0000001192092896
manner,Manner of Relating to Examiner,0.3333,0.6910316348075867
therapy_recs,Therapeutic Recommendations,0.0,0.5737561583518982
clin_interpretations,Clinical Interpretation,0.5,0.35161757469177246
narrative,Narrative,1.0,1.0
information_text,New Salient Information provided by client/family:,0.1667,0.296770840883255
goals_text,Goal(s)/Objective(s) focused on in this session:,0.25,0.5032622814178467
interventions_text,Interventions provided and client/family response:,0.2,0.5055602192878723
therapeutic_text,Narrative Description,0.0,0.27729499340057373
progress_text, Description of progress/client response,0.25,0.6272678375244141
therapeutic_text,Narrative Description,0.0,0.27729499340057373
progress_text,Description of progress/client response,0.25,0.6272678375244141
info,Session Info,0.5,0.6182812452316284
description,Description,1.0,1.0
response,Response,1.0,1.0
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.0625,0.13475942611694336
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.0769,0.2802562117576599
info,Session Objective/Notes,0.0,0.173714280128479
summary_contact,Summary of Contact,1.0,1.0
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",0.1429,0.396928071975708
need,Need for or goal of intervention,0.3333,0.2890436053276062
response,Response to Intervention,0.5,0.568101704120636
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),0.1429,0.2268410474061966
