field_key,field_title,reason,final_decision,severity
meeting_summary,סיכום הביקור,"Key does not match the title; the title refers to a visit summary, while the key refers to a meeting.",mismatch,0.9
Patient_States,Patient states,,accept,0.0
Comments_Concerns,Comments or concerns about UDS,Key is too specific; lacks the context of 'about UDS'.,review,0.35
Narrative_Summary,Narrative summary,,accept,0.0
purpose,Purpose of Contact,Key is generic; omits the object 'of contact'.,review,0.4
response,Client Response,Key is generic; omits the actor 'client'.,review,0.35
explanation,"Explanation (use direct quotes from Client, when possible)",Key is too generic; it does not specify the actor 'client' or the context of using direct quotes.,review,0.35
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",Key is overly specific and does not encompass the broader scope of 'functioning' as indicated in the title.,review,0.35
new_issues,New Issue(s) Presented Today,Key lacks the temporal aspect ('today') and the plural form of 'issues'.,review,0.35
talked_about,What we talked about,Key is missing the subject 'we' and the interrogative 'what'.,review,0.35
describe_text,Describe:,,accept,0.0
additionalcommentstext,Comments:,Key does not align with the title; it is overly specific and lacks clarity.,mismatch,0.85
clinical_course,Clinical course of treatment including rationale for today's service,Key is relevant but lacks specificity regarding 'treatment' and 'rationale for today's service'.,review,0.35
changes_consumer,Changes in the consumer's condition or situation,,,
response,Current status and response to treatment,,,
chief,Chief Complaint,,,
history,History of Present Illness (details if applicable),,,
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,,,
prev_meds,Medications Previously Tried (if any),,,
substance_abuse,Past and Current Substances Abuse,,,
child_development,Childhood Development (Children Only),,,
issues,Personal/Family/Social History/Legal Issues,,,
fam_history,Family History (Biological Loading),,,
reactions,Allergies/Adverse Reactions,,,
med_history,Medical History,,,
current_meds,Current Medications,,accept,0.0
contraceptive,LMP and Contraceptive Method,,,
height,Height and Weight:,,,
appearance,Appearance,,accept,0.0
eye_contact,Eye Contact,,accept,0.0
attention,Attention Span,,,
psych_activity,Psychomotor Activity,,,
content,Thought Content,,,
mood,Mood,,accept,0.0
affect,Affect,,accept,0.0
associations,Associations,,accept,0.0
manner,Manner of Relating to Examiner,,,
therapy_recs,Therapeutic Recommendations,,,
clin_interpretations,Clinical Interpretation,,accept,0.0
