field_key,field_title,row_id,suggested_key,suggested_cosine,suggested_nli,suggested_combined,delta_cosine,delta_nli,delta_combined
meeting_summary,סיכום הביקור,0,,0.0,0.0,0.0,,,
data,Data:,1,,,,,,,
assessment,Assessment:,2,,,,,,,
plan,Plan:,3,,,,,,,
Patient_States,Patient states,4,patient_states,1.0000000596046448,0.89453125,0.9578125357627869,0.0,0.0009765625,0.0003906250000000888
Presenting_Problem,Presenting problem,5,,,,,,,
UDS_Reviewed,Urine Drug Screen (UDS) results reviewed,6,,,,,,,
Comments_Concerns,Comments or concerns about UDS,7,concerns_about_uds,0.9794328808784485,0.9697265625,0.9755503535270691,0.2987791895866394,0.1845703125,0.2530956387519836
Narrative_Summary,Narrative summary,8,narrative_summary,1.0,0.853515625,0.94140625,0.0,-0.0546875,-0.021874999999999978
purpose,Purpose of Contact,9,purpose_contact,0.9239087104797363,0.9375,0.9293452262878418,0.18251954019069672,0.09619140625,0.14798828661441799
response,Client Response,10,client_response,1.0000000596046448,0.91650390625,0.9666015982627869,0.21783596277236938,0.06982421875,0.15863126516342163
plan,Plan for Next Session,11,,,,,,,
satisfaction,Satisfaction with Services Rendered,12,,,,,,,
explanation,"Explanation (use direct quotes from Client, when possible)",13,explanation,1.0,0.8623046875,0.944921875,0.0,0.0,0.0
intervention,Clinical Intervention / Progress Toward Measurable Outcome,14,,,,,,,
plan,Homework/Plan for Next Session,15,,,,,,,
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",16,functioning_observed_or_reported,0.9868965148925781,0.984375,0.9858879089355469,0.26582157611846924,0.66455078125,0.42531325817108157
new_issues,New Issue(s) Presented Today,17,new_issue_presented_today,1.0,0.97705078125,0.9908203125,0.11720669269561768,0.02099609375,0.07872245311737058
talked_about,What we talked about,18,what_we_talked_about,1.0000000596046448,0.966796875,0.9867187857627868,0.09539222717285156,-0.0029296875,0.05606346130371087
describe_text,Describe:,19,,0.0,0.0,0.0,,,
additional_comments,Additional Comments?,20,,,,,,,
additionalcommentstext,Comments:,21,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
clinical_course,Clinical course of treatment including rationale for today's service,22,,0.0,0.0,0.0,,,
