field_key,field_title,field_type,field_key_exists_in_library_flag,row_id,missing_field_title,token_valid_ratio,invalid_tokens,token_validity_ratio_label,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,cosine_sim,cosine_verdict,nli_axis,nli_axis_label,len_ratio,facet_hard_mismatch,facet_partial_mismatch,facet_missing_context,facet_hidden_agent,facet_temporal_mismatch,facet_token_validity_issues,facet_title_missing,semantic_severity,structural_severity,final_severity,reasons
meeting_summary,סיכום הביקור,textarea,False,0,False,1.0,[],VALID,0.0,[],"['meet', 'summary']",[],LOW,0.21388623118400574,LOW,-0.22250736498309065,Partial Contradiction,0.0,True,False,False,False,False,False,False,0.2974136598602745,1.0,0.7892240979580823,hard_mismatch
Patient_States,Patient states,textarea,False,4,False,1.0,[],VALID,1.0,"['state', 'patient']","['state', 'patient']","['state', 'patient']",HIGH,1.0,HIGH,0.7407148490141565,Exact Match,1.0,False,False,False,False,False,False,False,0.9222144547042469,1.0,0.976664336411274,
Comments_Concerns,Comments or concerns about UDS,textarea,False,7,False,1.0,[],VALID,0.5,"['comment', 'concern']","['comment', 'concern']","['about', 'comment', 'ud', 'concern']",PARTIAL,0.7176864147186279,MEDIUM,0.3598178108009173,Weak Match,2.0,False,False,True,False,False,False,False,0.6732512676558636,1.0,0.901975380296759,missing_context
Narrative_Summary,Narrative summary,textarea,False,8,False,1.0,[],VALID,1.0,"['narrative', 'summary']","['narrative', 'summary']","['narrative', 'summary']",HIGH,1.0000001192092896,HIGH,0.4396834891329161,Weak Match,1.0,False,False,False,False,False,False,False,0.8319050825026616,1.0,0.9495715247507984,
purpose,Purpose of Contact,textarea,False,9,False,1.0,[],VALID,0.5,['purpose'],['purpose'],"['purpose', 'contact']",PARTIAL,0.6372102499008179,MEDIUM,0.340272506686516,Weak Match,2.0,False,False,True,False,False,False,False,0.6432448269762002,1.0,0.8929734480928601,missing_context
response,Client Response,textarea,False,10,False,1.0,[],VALID,0.5,['response'],['response'],"['response', 'client']",PARTIAL,0.5405397415161133,MEDIUM,0.47505061458740855,Weak Match,2.0,False,False,True,True,False,False,False,0.6546771068310566,1.0,0.8964031320493169,"missing_context, hidden_agent"
explanation,"Explanation (use direct quotes from Client, when possible)",textarea,False,13,False,1.0,[],VALID,0.1429,['explanation'],['explanation'],"['when', 'direct', 'explanation', 'use', 'quote', 'possible', 'client']",LOW,0.14404787123203278,LOW,0.4346622615186819,Weak Match,3.0,True,False,False,True,False,False,False,0.48790303982521444,1.0,0.8463709119475643,"hard_mismatch, hidden_agent"
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",textarea,False,16,False,1.0,[],VALID,0.5,"['mood', 'affect', 'report', 'observe', 'behavior']","['mood', 'affect', 'report', 'observe', 'behavior']","['include', 'cognitive', 'mood', 'may', 'report', 'affect', 'function', 'observe', 'behavior', 'etc']",PARTIAL,0.7780056595802307,MEDIUM,0.7896760403628726,Exact Match,2.0,False,False,False,False,False,False,False,0.820304509982931,1.0,0.9460913529948792,
new_issues,New Issue(s) Presented Today,textarea,False,17,False,1.0,[],VALID,0.5,"['new', 'issue']","['new', 'issue']","['present', 'new', 'issue', 'today']",PARTIAL,0.7593533396720886,MEDIUM,0.6790029485963532,Exact Match,2.0,False,False,False,False,True,False,False,0.7815068864805326,1.0,0.9344520659441597,temporal_mismatch
talked_about,What we talked about,textarea,False,18,False,1.0,[],VALID,0.5,"['talk', 'about']","['talk', 'about']","['what', 'we', 'talk', 'about']",PARTIAL,0.8069781064987183,MEDIUM,0.859373841961415,Exact Match,2.0,False,False,False,False,False,False,False,0.8499055845380399,1.0,0.9549716753614119,
describe_text,Describe:,textarea,False,19,False,1.0,[],VALID,1.0,['describe'],"['describe', 'text']",['describe'],HIGH,0.6245561242103577,MEDIUM,0.06272406626905597,Uncertain,0.5,False,False,False,False,False,False,False,0.6061840571438241,1.0,0.8818552171431472,
additionalcommentstext,Comments:,textarea,False,21,False,0.0,['additionalcommentstext'],INVALID,0.0,[],['additionalcommentstext'],['comment'],LOW,0.19598977267742157,LOW,-0.2053399602452988,Partial Contradiction,1.0,True,False,False,False,False,True,False,0.29719494372963684,0.0,0.08915848311889105,"hard_mismatch, token_validity_issues"
clinical_course,Clinical course of treatment including rationale for today's service,textarea,False,22,False,1.0,[],VALID,0.2857,"['clinical', 'course']","['clinical', 'course']","['clinical', 'include', 'course', 'treatment', 'service', 'rationale', 'today']",LOW,0.6632847189903259,MEDIUM,0.3510726610750421,Weak Match,3.0,False,True,False,False,True,False,False,0.6328772140196104,1.0,0.8898631642058831,"partial_mismatch, temporal_mismatch"
changes_consumer,Changes in the consumer's condition or situation,textarea,False,23,False,1.0,[],VALID,0.5,"['change', 'consumer']","['consumer', 'change']","['condition', 'consumer', 'situation', 'change']",PARTIAL,0.7341147065162659,MEDIUM,0.57540008147496,Weak Match,2.0,False,False,True,False,False,False,False,0.7428544363973677,1.0,0.9228563309192103,missing_context
response,Current status and response to treatment,textarea,False,24,False,1.0,[],VALID,0.25,['response'],['response'],"['current', 'treatment', 'status', 'response']",LOW,0.32551810145378113,LOW,0.4244457121850412,Weak Match,3.0,True,False,False,False,False,False,False,0.5499891440916467,1.0,0.864996743227494,hard_mismatch
chief,Chief Complaint,textarea,False,27,False,1.0,[],VALID,0.5,['chief'],['chief'],"['complaint', 'chief']",PARTIAL,0.6909789443016052,MEDIUM,0.28565952805612027,Weak Match,2.0,False,False,True,False,False,False,False,0.6429915417073176,1.0,0.8928974625121953,missing_context
history,History of Present Illness (details if applicable),textarea,False,28,False,1.0,[],VALID,0.1667,['history'],['history'],"['detail', 'history', 'applicable', 'illness', 'present', 'if']",LOW,0.35909390449523926,LOW,0.5355743277514494,Weak Match,3.0,True,False,False,False,False,False,False,0.5850704696740066,1.0,0.8755211409022019,hard_mismatch
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,textarea,False,29,False,1.0,[],VALID,0.25,"['history', 'treatment']","['history', 'treatment']","['include', 'history', 'psychiatric', 'treatment', 'past', 'medication', 'their', 'effect']",LOW,0.6641609072685242,MEDIUM,0.5277649208221001,Weak Match,3.0,False,True,False,False,False,False,False,0.6825777484271873,1.0,0.9047733245281562,partial_mismatch
prev_meds,Medications Previously Tried (if any),textarea,False,30,False,0.5,['prev'],INVALID,0.0,[],"['med', 'prev']","['previously', 'try', 'if', 'medication', 'any']",LOW,0.33284062147140503,LOW,0.24449042207615343,Weak Match,2.5,True,False,False,False,False,True,False,0.47319931306426755,0.5,0.49195979391928024,"hard_mismatch, token_validity_issues"
substance_abuse,Past and Current Substances Abuse,textarea,False,31,False,1.0,[],VALID,0.5,"['substance', 'abuse']","['substance', 'abuse']","['current', 'substance', 'abuse', 'past']",PARTIAL,0.716100811958313,MEDIUM,0.7936677701749244,Exact Match,2.0,False,False,False,False,False,False,False,0.8029305746399713,1.0,0.9408791723919914,
child_development,Childhood Development (Children Only),textarea,False,32,False,1.0,[],VALID,0.5,"['child', 'development']","['development', 'child']","['childhood', 'only', 'child', 'development']",PARTIAL,0.7380589842796326,MEDIUM,0.5804498666429246,Weak Match,2.0,False,False,True,False,False,False,False,0.7455526552767673,1.0,0.9236657965830302,missing_context
issues,Personal/Family/Social History/Legal Issues,textarea,False,33,False,1.0,[],VALID,0.1667,['issue'],['issue'],"['history', 'personal', 'issue', 'family', 'social', 'legal']",LOW,0.27006348967552185,LOW,0.5605027063526321,Weak Match,3.0,True,False,False,True,False,False,False,0.5658398588084461,1.0,0.8697519576425338,"hard_mismatch, hidden_agent"
