field_key,field_title,validity_stats,token_valid_ratio,char_valid_ratio,valid_tokens,invalid_tokens,tokens,token_validity_ratio_label,camel_case_flag,snake_case_flag,clean_word_flag,missing_field_title
meeting_summary,סיכום הביקור,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['meeting', 'summary'], 'invalid_tokens': [], 'tokens': ['meeting', 'summary']}",1.0,1.0,"['meeting', 'summary']",[],"['meeting', 'summary']",VALID,False,True,False,False
Patient_States,Patient states,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['patient', 'states'], 'invalid_tokens': [], 'tokens': ['patient', 'states']}",1.0,1.0,"['patient', 'states']",[],"['patient', 'states']",VALID,False,True,False,False
Comments_Concerns,Comments or concerns about UDS,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['comments', 'concerns'], 'invalid_tokens': [], 'tokens': ['comments', 'concerns']}",1.0,1.0,"['comments', 'concerns']",[],"['comments', 'concerns']",VALID,False,True,False,False
Narrative_Summary,Narrative summary,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['narrative', 'summary'], 'invalid_tokens': [], 'tokens': ['narrative', 'summary']}",1.0,1.0,"['narrative', 'summary']",[],"['narrative', 'summary']",VALID,False,True,False,False
purpose,Purpose of Contact,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['purpose'], 'invalid_tokens': [], 'tokens': ['purpose']}",1.0,1.0,['purpose'],[],['purpose'],VALID,False,False,False,False
response,Client Response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,False,False,False,False
explanation,"Explanation (use direct quotes from Client, when possible)","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['explanation'], 'invalid_tokens': [], 'tokens': ['explanation']}",1.0,1.0,['explanation'],[],['explanation'],VALID,False,False,False,False
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)","{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['observed', 'reported', 'mood', 'affect', 'behavior'], 'invalid_tokens': [], 'tokens': ['observed', 'reported', 'mood', 'affect', 'behavior']}",1.0,1.0,"['observed', 'reported', 'mood', 'affect', 'behavior']",[],"['observed', 'reported', 'mood', 'affect', 'behavior']",VALID,False,True,False,False
new_issues,New Issue(s) Presented Today,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['new', 'issues'], 'invalid_tokens': [], 'tokens': ['new', 'issues']}",1.0,1.0,"['new', 'issues']",[],"['new', 'issues']",VALID,False,True,False,False
talked_about,What we talked about,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['talked', 'about'], 'invalid_tokens': [], 'tokens': ['talked', 'about']}",1.0,1.0,"['talked', 'about']",[],"['talked', 'about']",VALID,False,True,False,False
