report_class_id,organization_name,field_key,field_title,field_type,field_key_definition,row_id,field_key_exists_in_library_flag,structural_severity,semantic_severity,final_severity,reasons,normalized_field_key,validity_stats,token_valid_ratio,char_valid_ratio,valid_tokens,invalid_tokens,tokens,token_validity_ratio_label,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,cosine_sim,cosine_verdict,nli_axis,nli_axis_label,len_ratio,facet_title_missing,facet_hard_mismatch,facet_partial_mismatch,facet_missing_context,facet_hidden_agent,facet_temporal_mismatch,facet_token_validity_issues
AmalReport,Amal,meeting_summary,סיכום הביקור,textarea,,0,False,1.0,0.30262035700768497,0.7907861071023055,"hard_mismatch, partial_mismatch",meeting summary,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['meeting', 'summary'], 'invalid_tokens': [], 'tokens': ['meeting', 'summary']}",1.0,1.0,"['meeting', 'summary']",[],"['meeting', 'summary']",VALID,0.0,[],"['summary', 'meeting']",[],LOW,0.2312421202659607,LOW,-0.22250759690701077,Partial Contradiction,0.0,False,True,True,False,False,False,False
APNFamilyTherapyReport,Hillsides,data,Data:,textarea,"The Field ‘data' contains the main topics covered in the session. This field is like a summary of the session and can cover a wide array of topics, but should focus primarily on the topics discussed, and less on things outside the session such as planning and homework. Most likely will contain the topics brought up by the client, interactions between therapist and client, client’s state and treatment goals.",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APNFamilyTherapyReport,Hillsides,assessment,Assessment:,textarea,"This field captures the thorough analysis or evaluation of a client's mental and emotional state, as observed by the therapist during the session. This often includes, but is not limited to, the client's emotional responses, mood states, behavioral patterns, coping mechanisms, and relational dynamics. It may also touch upon life transitions or events impacting the client's well-being, as well as the client's recognition and management of their emotional health. It may also include screening and/or assessment results from evaluations conducted and self report tools..",2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APNFamilyTherapyReport,Hillsides,plan,Plan:,textarea,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them.",3,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarryCountyCMHAPeerSupportNoteReport,Barry County CMHA,purpose,Purpose of Contact,textarea,,9,False,1.0,0.633742455138733,0.8901227365416198,missing_context,purpose,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['purpose'], 'invalid_tokens': [], 'tokens': ['purpose']}",1.0,1.0,['purpose'],[],['purpose'],VALID,0.5,['purpose'],['purpose'],"['contact', 'purpose']",PARTIAL,0.6055358052253723,MEDIUM,0.34027237857040427,Weak Match,1.5,False,False,False,True,False,False,False
BarryCountyCMHAPeerSupportNoteReport,Barry County CMHA,response,Client Response,textarea,,10,False,1.0,0.6618136261372739,0.8985440878411821,"missing_context, hidden_agent",response,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['response'], 'invalid_tokens': [], 'tokens': ['response']}",1.0,1.0,['response'],[],['response'],VALID,0.5,['response'],['response'],"['client', 'response']",PARTIAL,0.5643280148506165,MEDIUM,0.4750507389402965,Weak Match,1.5,False,False,False,True,True,False,False
BarryCountyCMHAPeerSupportNoteReport,Barry County CMHA,plan,Plan for Next Session,textarea,"This field describes the future steps or action strategies for the patient's treatment. This is not your overall treatment plan, but what the therapist hopes to accomplish and the actions they and/or the client would like to take between sessions.It describes the specific plans or actions that are intended for the client, based on their unique situations, feelings and thoughts. It involves outlining practical steps to be taken by the client regarding their situation and work in therapy like investigating job options, making appointments, adjusting medication adherence, working on recognizing cognitive distortions or practicing coping skills. It’s usually used for documenting the decisions made, proposed strategies, as well as steps for future engagement and sessions. It is also used for recording barriers in treatment as observed by the therapist and outlining the steps to overcome them.",11,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarryCountyCMHAPeerSupportNoteReport,Barry County CMHA,satisfaction,Satisfaction with Services Rendered,radio,,12,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BarryCountyCMHAPeerSupportNoteReport,Barry County CMHA,explanation,"Explanation (use direct quotes from Client, when possible)",textarea,,13,False,1.0,0.48413411776681875,0.8452402353300456,"hard_mismatch, hidden_agent",explanation,"{'token_valid_ratio': 1.0, 'char_valid_ratio': 1.0, 'valid_tokens': ['explanation'], 'invalid_tokens': [], 'tokens': ['explanation']}",1.0,1.0,['explanation'],[],['explanation'],VALID,0.1429,['explanation'],['explanation'],"['when', 'use', 'quote', 'direct', 'possible', 'explanation', 'client']",LOW,0.1314847469329834,LOW,0.43466231228974567,Weak Match,1.5,False,True,False,False,True,False,False
BarryCountyCMHAServiceNoteReport,Barry County CMHA,intervention,Clinical Intervention / Progress Toward Measurable Outcome,textarea,"The Field ‘intervention' refers to the various therapeutic techniques, strategies, or actions that a therapist employs to help clients address and work through their challenges. These interventions are designed to promote positive change, enhance coping skills, and facilitate personal growth. The specific interventions used can vary depending on the therapeutic approach, the goals of therapy, and the needs of the individual client. These can range from positive reinforcement and radical acceptance to cognitive-behavioral methods and solution-focused brief therapy. The interventions are the therapist’s way of assisting the client to proceed towards their therapeutic goals.",14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
