field_key,field_title,nli_axis,nli_axis_label
meeting_summary,סיכום הביקור,-0.22250736498309065,Partial Contradiction
Patient_States,Patient states,0.7407148490141565,Exact Match
Comments_Concerns,Comments or concerns about UDS,0.3598178108009173,Weak Match
Narrative_Summary,Narrative summary,0.4396834891329161,Weak Match
purpose,Purpose of Contact,0.340272506686516,Weak Match
response,Client Response,0.47505061458740855,Weak Match
explanation,"Explanation (use direct quotes from Client, when possible)",0.4346622615186819,Weak Match
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",0.7896760403628726,Exact Match
new_issues,New Issue(s) Presented Today,0.6790029485963532,Exact Match
talked_about,What we talked about,0.859373841961415,Exact Match
describe_text,Describe:,0.06272406626905597,Uncertain
additionalcommentstext,Comments:,-0.2053399602452988,Partial Contradiction
clinical_course,Clinical course of treatment including rationale for today's service,0.3510726610750421,Weak Match
changes_consumer,Changes in the consumer's condition or situation,0.57540008147496,Weak Match
response,Current status and response to treatment,0.4244457121850412,Weak Match
chief,Chief Complaint,0.28565952805612027,Weak Match
history,History of Present Illness (details if applicable),0.5355743277514494,Weak Match
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,0.5277649208221001,Weak Match
prev_meds,Medications Previously Tried (if any),0.24449042207615343,Weak Match
substance_abuse,Past and Current Substances Abuse,0.7936677701749244,Exact Match
child_development,Childhood Development (Children Only),0.5804498666429246,Weak Match
issues,Personal/Family/Social History/Legal Issues,0.5605027063526321,Weak Match
fam_history,Family History (Biological Loading),0.48502496719426547,Weak Match
reactions,Allergies/Adverse Reactions,0.3697739788025369,Weak Match
med_history,Medical History,0.685545804979741,Exact Match
current_meds,Current Medications,0.7721140060167265,Exact Match
contraceptive,LMP and Contraceptive Method,0.43190707930353195,Weak Match
height,Height and Weight:,0.40050884544094467,Weak Match
appearance,Appearance,0.5590020389978863,Weak Match
eye_contact,Eye Contact,0.6855967375155733,Exact Match
attention,Attention Span,0.34710933576298225,Weak Match
psych_activity,Psychomotor Activity,0.29515982134643576,Weak Match
content,Thought Content,0.45264127644888047,Weak Match
mood,Mood,0.4440692221442519,Weak Match
affect,Affect,0.730962608722372,Exact Match
associations,Associations,0.565677081813906,Weak Match
manner,Manner of Relating to Examiner,0.2548739637907717,Weak Match
therapy_recs,Therapeutic Recommendations,0.5378591879020389,Weak Match
clin_interpretations,Clinical Interpretation,0.41513244062731225,Weak Match
narrative,Narrative,0.4179504607687354,Weak Match
information_text,New Salient Information provided by client/family:,0.0015860247857154008,Uncertain
goals_text,Goal(s)/Objective(s) focused on in this session:,0.10416375933622941,Uncertain
interventions_text,Interventions provided and client/family response:,-0.03739344904924946,Uncertain
therapeutic_text,Narrative Description,-0.4784200639287349,Strong Contradiction
progress_text, Description of progress/client response,0.3872236771712868,Weak Match
therapeutic_text,Narrative Description,-0.4784200639287349,Strong Contradiction
progress_text,Description of progress/client response,0.3872236771712868,Weak Match
info,Session Info,0.696607478946454,Exact Match
description,Description,0.5106881388525633,Weak Match
response,Response,0.4337319789906334,Weak Match
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.19569478427555034,Uncertain
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.21383973451185248,Weak Match
info,Session Objective/Notes,0.13789554949508884,Uncertain
summary_contact,Summary of Contact,0.6678348694460885,Exact Match
summary_text,"Summary: Goals, Objectives, Interventions Delivered & Consumer Response",0.4629477660331501,Weak Match
need,Need for or goal of intervention,0.5562479880091058,Weak Match
response,Response to Intervention,0.5154228247648188,Weak Match
sud_symptoms,Symptoms/Problems Status (incl. changes in Circumstances/Stressors),-0.29655449769078057,Strong Contradiction
sud_interventions,Clinical Intervention(s)/Client Response(s)/Progress toward Goal(s),-0.20092644965802436,Partial Contradiction
sud_plan,"Plan/Additional Information, if applicable?",-0.3394809622717654,Strong Contradiction
focus,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development?)",0.1922415950581634,Uncertain
response,"Describe the client's response to the intervention, progress made toward goals, and strengths. If progress is not being made, describe reasons and barriers to progress.",0.17178821039287992,Uncertain
lastservice,Plan from Last Service.,0.4065014111089915,Weak Match
presenting_problems,"Presenting Problem(s), as Indicated by Client/Family:",0.6396604307698782,Exact Match
relevant_issues,Relevant Medical Issues,0.6941677839490605,Exact Match
explain_txt1,"Explain (Include dates, means, rescue)",-0.10230618379567372,Uncertain
explain_txt2,"Explain (Include dates, means, rescue)",-0.13105133123062704,Uncertain
explain_txt3,"Explain (Include dates, means, rescue)",-0.13289551633108956,Uncertain
explain_txt4,"Explain (Include dates, means, rescue)",-0.1548248451577148,Partial Contradiction
substance_use,"Substance use concerns, relevant history and/or treatment.",0.5511562205380511,Weak Match
if_other2,"If ""Other"", please describe:",-0.08174756404218636,Uncertain
if_other3,"If ""Other"", please describe:",-0.05310324551495861,Uncertain
if_other4,"If ""Other"", please describe:",-0.08931391674214748,Uncertain
observations,Observations,0.4937421132846334,Weak Match
if_other5,"If ""Other"", please describe:",-0.05417173540364459,Uncertain
if_other6,"If ""Other"", please describe:",-0.11155518676403517,Uncertain
if_other7,"If ""Other"", please describe:",-0.05304605522003526,Uncertain
summary_response,Summary/Response of Intervention/Services,0.20438316129575596,Weak Match
justification,Justification for the diversion or hospital recommendation:,0.6144686680240984,Exact Match
Mental_Status_textbox,,-0.17918973345034253,Partial Contradiction
Interventions_textbox,,-0.18589909678867858,Partial Contradiction
Progress_toward_goals_textbox,,-0.15252470452402334,Partial Contradiction
Action_plan_textbox,,-0.17785404817064035,Partial Contradiction
goal,"GOAL FOR THIS SERVICE: Indicate a specific, observable and/or measurable goal(s) related to the client’s mental health needs.",0.371114648028412,Weak Match
narrative,"SESSION NARRATIVE: Indicate medically necessary service(s) provided. If client/collateral present, also indicate participant(s) response to service(s).",0.45264960266012444,Weak Match
indvpresent,INDIVIDUALS PRESENT/CONTACTED:,0.1686148532679175,Uncertain
clientprez,CLIENT PRESENTATION:,0.20944376729996925,Weak Match
servicegoal,GOAL FOR THIS SERVICE:,0.526955913412832,Weak Match
functionalimpairments,FUNCTIONAL IMPAIRMENTS:,0.5981275018326013,Weak Match
response,RESPONSE:,0.5968396376476853,Weak Match
first_began,"When you first began services, you were (describe symptoms, housing, medical needs, family/social situations, etc.)",0.5606405518747044,Weak Match
goals_progress,Here are your goals and the progress you've made and some gains you've achieved.,0.6809840046697225,Exact Match
details_services,Details and Services at other agencies.,0.4998595856693825,Weak Match
presenting_issue,Presenting Issue,0.6587872583102706,Exact Match
additional_intervention,Additional Care Manager Intervention Provided During the Session,0.8239768324396707,Exact Match
response,Client response to interventions performed,0.4849437574565196,Weak Match
progress_towards_goal,Progress towards goals,0.8141727215288097,Exact Match
additional_progress,Additional Progress towards goals to be addressed during the interim or at next session,0.9040230640664756,Exact Match
focus_of_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",0.4144507629758732,Weak Match
interventions_provided,Describe the interventions provided.,0.8227078088330094,Exact Match
clients_response_to_intervention,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",0.757510438508751,Exact Match
document_plan,Document the plan. If there were barriers describe the plan to overcome the barriers.,0.8859278989142094,Exact Match
desribe_reason_text,,-0.03543630575282915,Uncertain
summary_intervention_text,,-0.15005627941002983,Partial Contradiction
summary_contact,Summary of Contact,0.6678348694460885,Exact Match
description,"Description of COS Service, Future Plans and Recommendations",0.4397650170258854,Weak Match
narrative,סיכום פגישה,0.09341445282982676,Uncertain
barriers,Barriers to progress:,0.7633485085460676,Exact Match
