field_key,field_title,containment_title,matched_tokens,key_tokens,title_tokens,containment_title_label,field_type,field_key_exists_in_library_flag,missing_field_title
meeting_summary,סיכום הביקור,0.0,[],"['meet', 'summary']",[],LOW,textarea,False,False
Patient_States,Patient states,1.0,"['state', 'patient']","['state', 'patient']","['state', 'patient']",HIGH,textarea,False,False
Comments_Concerns,Comments or concerns about UDS,0.5,"['comment', 'concern']","['comment', 'concern']","['about', 'comment', 'ud', 'concern']",PARTIAL,textarea,False,False
Narrative_Summary,Narrative summary,1.0,"['narrative', 'summary']","['narrative', 'summary']","['narrative', 'summary']",HIGH,textarea,False,False
purpose,Purpose of Contact,0.5,['purpose'],['purpose'],"['purpose', 'contact']",PARTIAL,textarea,False,False
response,Client Response,0.5,['response'],['response'],"['response', 'client']",PARTIAL,textarea,False,False
explanation,"Explanation (use direct quotes from Client, when possible)",0.1429,['explanation'],['explanation'],"['when', 'direct', 'explanation', 'use', 'quote', 'possible', 'client']",LOW,textarea,False,False
observed_reported_mood_affect_behavior,"Functioning - Observed or Reported (may include mood, affect, behavior, cognitive functioning, etc.)",0.5,"['mood', 'affect', 'report', 'observe', 'behavior']","['mood', 'affect', 'report', 'observe', 'behavior']","['include', 'cognitive', 'mood', 'may', 'report', 'affect', 'function', 'observe', 'behavior', 'etc']",PARTIAL,textarea,False,False
new_issues,New Issue(s) Presented Today,0.5,"['new', 'issue']","['new', 'issue']","['present', 'new', 'issue', 'today']",PARTIAL,textarea,False,False
talked_about,What we talked about,0.5,"['talk', 'about']","['talk', 'about']","['what', 'we', 'talk', 'about']",PARTIAL,textarea,False,False
describe_text,Describe:,1.0,['describe'],"['describe', 'text']",['describe'],HIGH,textarea,False,False
additionalcommentstext,Comments:,0.0,[],['additionalcommentstext'],['comment'],LOW,textarea,False,False
clinical_course,Clinical course of treatment including rationale for today's service,0.2857,"['clinical', 'course']","['clinical', 'course']","['clinical', 'include', 'course', 'treatment', 'service', 'rationale', 'today']",LOW,textarea,False,False
changes_consumer,Changes in the consumer's condition or situation,0.5,"['change', 'consumer']","['consumer', 'change']","['condition', 'consumer', 'situation', 'change']",PARTIAL,textarea,False,False
response,Current status and response to treatment,0.25,['response'],['response'],"['current', 'treatment', 'status', 'response']",LOW,textarea,False,False
chief,Chief Complaint,0.5,['chief'],['chief'],"['complaint', 'chief']",PARTIAL,textarea,False,False
history,History of Present Illness (details if applicable),0.1667,['history'],['history'],"['detail', 'history', 'applicable', 'illness', 'present', 'if']",LOW,textarea,False,False
treatment_history,Past Psychiatric Treatment History Including Medications and their Effects,0.25,"['history', 'treatment']","['history', 'treatment']","['include', 'history', 'psychiatric', 'treatment', 'past', 'medication', 'their', 'effect']",LOW,textarea,False,False
prev_meds,Medications Previously Tried (if any),0.0,[],"['med', 'prev']","['previously', 'try', 'if', 'medication', 'any']",LOW,textarea,False,False
substance_abuse,Past and Current Substances Abuse,0.5,"['substance', 'abuse']","['substance', 'abuse']","['current', 'substance', 'abuse', 'past']",PARTIAL,textarea,False,False
child_development,Childhood Development (Children Only),0.5,"['child', 'development']","['development', 'child']","['childhood', 'only', 'child', 'development']",PARTIAL,textarea,False,False
issues,Personal/Family/Social History/Legal Issues,0.1667,['issue'],['issue'],"['history', 'personal', 'issue', 'family', 'social', 'legal']",LOW,textarea,False,False
fam_history,Family History (Biological Loading),0.25,['history'],"['fam', 'history']","['history', 'load', 'biological', 'family']",LOW,textarea,False,False
reactions,Allergies/Adverse Reactions,0.3333,['reaction'],['reaction'],"['adverse', 'reaction', 'allergy']",LOW,textarea,False,False
med_history,Medical History,0.5,['history'],"['me', 'history']","['medical', 'history']",PARTIAL,textarea,False,False
current_meds,Current Medications,0.5,['current'],"['current', 'med']","['current', 'medication']",PARTIAL,textarea,False,False
contraceptive,LMP and Contraceptive Method,0.3333,['contraceptive'],['contraceptive'],"['method', 'lmp', 'contraceptive']",LOW,textarea,False,False
height,Height and Weight:,0.5,['height'],['height'],"['weight', 'height']",PARTIAL,textarea,False,False
